ds,y
6/30/2017 0:00,227936.89
7/2/2017 0:00,158173.25
7/3/2017 0:00,35707.61
7/4/2017 0:00,252300.07
7/5/2017 0:00,252799.31
7/6/2017 0:00,259028.6
7/7/2017 0:00,202124.4
7/8/2017 0:00,341742.55
7/9/2017 0:00,120264.11
7/10/2017 0:00,9437.82
7/11/2017 0:00,221877.35
7/12/2017 0:00,238223.85
7/13/2017 0:00,238654.5
7/14/2017 0:00,233466.27
7/15/2017 0:00,261120.85
7/16/2017 0:00,125997.4
7/17/2017 0:00,28633.51
7/18/2017 0:00,219688.96
7/19/2017 0:00,227197.38
7/20/2017 0:00,243875.71
7/21/2017 0:00,221834.94
7/22/2017 0:00,304233.16
7/23/2017 0:00,134215.42
7/24/2017 0:00,5041.64
7/25/2017 0:00,248679.6
7/26/2017 0:00,231181.39
7/27/2017 0:00,229497.03
7/28/2017 0:00,216856.65
7/29/2017 0:00,275478.27
7/30/2017 0:00,170578.54
7/31/2017 0:00,17828.45
8/1/2017 0:00,247075.5
8/2/2017 0:00,279070.24
8/3/2017 0:00,280748.78
8/4/2017 0:00,231674.15
8/5/2017 0:00,346695.1
8/6/2017 0:00,117832.75
8/7/2017 0:00,5445.18
8/8/2017 0:00,287182.23
8/9/2017 0:00,250393.33
8/10/2017 0:00,280367.94
8/11/2017 0:00,262354.49
8/12/2017 0:00,323802.01
8/13/2017 0:00,162019.84
8/14/2017 0:00,26293.47
8/15/2017 0:00,266179.49
8/16/2017 0:00,286849.64
8/17/2017 0:00,244085.72
8/18/2017 0:00,325153.67
8/19/2017 0:00,345244.24
8/20/2017 0:00,172100.97
8/21/2017 0:00,13936.41
8/22/2017 0:00,261072.65
8/23/2017 0:00,301583.24
8/24/2017 0:00,271849.03
8/25/2017 0:00,267605.64
8/26/2017 0:00,304878
8/27/2017 0:00,156320.85
8/28/2017 0:00,20166.95
8/29/2017 0:00,265409.55
8/30/2017 0:00,267640.03
8/31/2017 0:00,284063.22
9/1/2017 0:00,271490.22
9/2/2017 0:00,327412.26
9/3/2017 0:00,166798.25
9/5/2017 0:00,207958.17
9/6/2017 0:00,231256.04
9/7/2017 0:00,200714.18
9/8/2017 0:00,204546.3
9/9/2017 0:00,340154.03
9/10/2017 0:00,153903.93
9/11/2017 0:00,15622.78
